PV;Wind Binnenland;Wind Coast;Wind Offshore
0;0.176211;0.259402;0.520809
0;0.159607;0.259825;0.483504
0;0.136688;0.25366;0.443817
0;0.122875;0.250969;0.441481
0;0.129875;0.257023;0.464592
0.007;0.121427;0.257851;0.500141
0.064;0.102005;0.228998;0.552098
0.166;0.099537;0.193576;0.60209
0.314;0.118761;0.188483;0.645192
0.414;0.144992;0.204602;0.679684
0.436;0.166641;0.220445;0.694983
0.317;0.173347;0.195679;0.685593
0.144;0.169733;0.199167;0.660438
0.024;0.210812;0.250943;0.6415
0;0.263209;0.299962;0.628787
0;0.296782;0.316012;0.624829
0;0.28012;0.289749;0.613085
0;0.261844;0.231745;0.595397
0;0.261841;0.189209;0.580247
0;0.274749;0.165063;0.572858
0;0.275986;0.158218;0.585794
0;0.288777;0.151067;0.586496
0;0.288114;0.142168;0.57267
0;0.287323;0.145011;0.562302
0;0.27436;0.156727;0.561988
0;0.25292;0.165094;0.565111
0;0.22253;0.175675;0.567732
0;0.198567;0.191834;0.575152
0;0.179802;0.208121;0.586057
0.001;0.152304;0.218925;0.593295
0.019;0.114369;0.252911;0.587998
0.054;0.093035;0.227133;0.568666
0.081;0.066737;0.266831;0.566675
0.095;0.030543;0.330175;0.560671
0.092;0.017858;0.343549;0.547755
0.066;0.037551;0.400972;0.562776
0.032;0.081025;0.420273;0.588004
0.003;0.116951;0.415336;0.595701
0;0.145019;0.379023;0.564684
0;0.145133;0.323649;0.496272
0;0.147896;0.292557;0.397135
0;0.177687;0.262197;0.296768
0;0.218881;0.228994;0.217354
0;0.247973;0.208849;0.15971
0;0.238316;0.19064;0.120028
0;0.222788;0.170832;0.101124
0;0.189983;0.15157;0.104017
0;0.170996;0.15722;0.133792
0;0.147599;0.156702;0.193569
0;0.115968;0.147872;0.256519
0;0.090795;0.14797;0.294631
0;0.07481;0.146452;0.305595
0;0.060085;0.153639;0.303141
0.005;0.047941;0.161628;0.313861
0.03;0.036977;0.150033;0.35156
0.055;0.030841;0.161556;0.432575
0.086;0.031773;0.179341;0.529173
0.138;0.026318;0.190807;0.605526
0.184;0.021166;0.177711;0.646936
0.137;0.018453;0.138651;0.655816
0.073;0.017791;0.111564;0.613194
0.017;0.024772;0.11436;0.520173
0;0.045814;0.151616;0.425075
0;0.089157;0.223305;0.385404
0;0.159826;0.27086;0.367216
0;0.244202;0.287351;0.371789
0;0.288278;0.264676;0.433907
0;0.285225;0.261645;0.50276
0;0.285237;0.251738;0.549223
0;0.302578;0.259823;0.588008
0;0.321442;0.278389;0.620006
0;0.359431;0.295769;0.673314
0;0.321633;0.349016;0.7351
0;0.379532;0.3189;0.775215
0;0.301764;0.305356;0.808691
0;0.259855;0.333494;0.846633
0;0.270824;0.351158;0.868636
0.045;0.242613;0.371786;0.876728
0.18;0.180978;0.39653;0.866291
0.298;0.176576;0.409642;0.845398
0.39;0.207784;0.393628;0.819317
0.46;0.202023;0.343603;0.770826
0.398;0.204627;0.284698;0.718612
0.153;0.177826;0.228993;0.679402
0.069;0.160387;0.198574;0.657982
0.019;0.190917;0.208126;0.627328
0;0.201934;0.186958;0.564824
0;0.186317;0.160924;0.457526
0;0.168976;0.164028;0.361943
0;0.147892;0.155573;0.333513
0;0.107577;0.136554;0.35026
0;0.078881;0.113831;0.354665
0;0.069842;0.099534;0.319296
0;0.059335;0.098954;0.275971
0;0.043382;0.099529;0.260098
0;0.026663;0.099627;0.273111
0;0.018741;0.097111;0.281166
0;0.018697;0.095011;0.303756
0;0.020047;0.101071;0.35047
0;0.025163;0.105978;0.385808
0;0.033378;0.112706;0.398584
0.009;0.034866;0.112382;0.411607
0.065;0.023061;0.099528;0.411717
0.125;0.013326;0.090447;0.395502
0.175;0.009991;0.092778;0.367235
0.183;0.010293;0.107465;0.343336
0.143;0.019449;0.115143;0.335952
0.098;0.038308;0.111279;0.329215
0.053;0.062486;0.108041;0.310844
